Date,Adj Close AVAL,Close AVAL,Dividends AVAL,High AVAL,Low AVAL,Open AVAL,Stock Splits AVAL,Volume AVAL,Day_of_Week,Month,Year,Quarter,SMA_7,SMA_21,Volatility_7,Daily_Return,Cumulative_Return,RSI,Momentum,BB_middle,BB_upper,BB_lower
2014-10-20,7.404577255249023,12.739999771118164,0.0,12.850000381469728,12.630000114440918,12.649999618530272,0.0,361800,Monday,10,2014,4,7.49590676171439,,0.15590779712940164,-0.0007833624976175679,0.9414100534811748,17.587272421838023,-0.41265344619750977,7.75201632976532,8.180909768836164,7.323122890694476
2014-10-21,7.462693214416504,12.84000015258789,0.0,12.859999656677246,12.550000190734863,12.550000190734863,0.0,470400,Tuesday,10,2014,4,7.451070444924491,7.738239038558233,0.09496958640150788,0.007848653226797397,0.9487988545351693,23.015209989536174,-0.3138542175292969,7.73188042640686,8.175905288860625,7.287855563953095
2014-10-22,7.4859442710876465,12.880000114440918,0.0,12.920000076293944,12.699999809265137,12.699999809265137,0.0,345800,Wednesday,10,2014,4,7.434464931488037,7.7201691809154696,0.07137501047196615,0.0031156388187345563,0.95175496907753,24.806276981940385,-0.11623859405517578,7.710879874229431,8.15994039874282,7.261819349716041
2014-10-23,7.567311763763428,13.020000457763672,0.0,13.140000343322754,12.850000381469728,12.850000381469728,0.0,345600,Thursday,10,2014,4,7.436125346592495,7.704043297540574,0.07472181112836765,0.01086936927783988,0.9620999452984528,29.19685648599784,0.011622905731201172,7.692210245132446,8.131991135158948,7.252429355105945
2014-10-24,7.561497211456299,13.010000228881836,0.0,13.130000114440918,12.9399995803833,12.989999771118164,0.0,356700,Friday,10,2014,4,7.463524205344064,7.685985814957392,0.08119080487305422,-0.0007683775280638017,0.961360689320734,28.466868719896382,0.19179201126098722,7.671222805976868,8.092603776003886,7.24984183594985
2014-10-27,7.619619369506836,13.109999656677246,0.0,13.130000114440918,12.850000381469728,13.0,0.0,623000,Monday,10,2014,4,7.501717908041818,7.668765499478295,0.08299308508249237,0.007686593861659707,0.9687502784941078,32.87642135252915,0.26735591888427734,7.657195711135865,8.064945385959403,7.249446036312327
2014-10-28,7.700987815856934,13.25,0.0,13.34000015258789,13.100000381469728,13.149999618530272,0.0,123300,Tuesday,10,2014,4,7.543232985905239,7.659281049455915,0.1005227161157002,0.010678807221752962,0.9790953759641658,40.25953338756705,0.2906055450439453,7.649843382835388,8.048301266187206,7.25138549948357
2014-10-29,7.78236198425293,13.390000343322754,0.0,13.479999542236328,13.229999542236328,13.3100004196167,0.0,319800,Wednesday,10,2014,4,7.597202232905796,7.6561537924267,0.11416173292451967,0.010566718236904693,0.9894412009290354,48.10146300935963,0.37778472900390625,7.64606556892395,8.037589404172733,7.2545417336751665
2014-10-30,7.833690643310547,13.43000030517578,0.048,13.449999809265137,13.300000190734863,13.390000343322754,0.0,61500,Thursday,10,2014,4,7.650201865604946,7.655000096275693,0.12673382363775637,0.006595511640486107,0.9959670718873395,53.07568719041141,0.37099742889404297,7.644563794136047,8.032788844885633,7.256338743386462
2014-10-31,7.862852573394775,13.479999542236328,0.0,13.529999732971191,13.289999961853027,13.5,0.0,370300,Friday,10,2014,4,7.704045908791678,7.654958497910273,0.12537561670377967,0.0037226297810382114,0.9996746885700807,66.62969583326742,0.3769083023071289,7.642776393890381,8.026378486274014,7.259174301506748
2014-11-03,7.827858448028564,13.420000076293944,0.0,13.489999771118164,13.229999542236328,13.470000267028809,0.0,197100,Monday,11,2014,4,7.741266863686698,7.651589825039818,0.11636851926510437,-0.004450563588667578,0.9952255728006181,67.62190795920515,0.26054668426513583,7.638948702812195,8.012966489052689,7.264930916571702
2014-11-04,7.903687000274658,13.550000190734863,0.0,13.59000015258789,13.420000076293944,13.460000038146973,0.0,314100,Tuesday,11,2014,4,7.790151119232178,7.651555288405645,0.09881402859267266,0.009687011172920812,1.0048663340439141,90.32530577763632,0.3421897888183594,7.638621735572815,8.011651116332477,7.265592354813154
2014-11-05,7.862852573394775,13.479999542236328,0.0,13.600000381469728,13.380000114440918,13.600000381469728,0.0,692000,Wednesday,11,2014,4,7.824898719787598,7.649299394516718,0.06625446782763432,-0.005166503541760181,0.9996746885700807,87.24289024441981,0.24323320388793945,7.637996745109558,8.009394424415483,7.266599065803633
2014-11-06,7.757862091064453,13.300000190734863,0.0,13.489999771118164,13.199999809265137,13.489999771118164,0.0,1043400,Thursday,11,2014,4,7.833023616245815,7.643704618726458,0.05002637125089051,-0.0133527217190329,0.9863263106440435,73.72338957095154,0.05687427520751953,7.635028314590454,8.001307983518425,7.268748645662483
2014-11-07,7.810357093811035,13.390000343322754,0.0,13.43000030517578,13.270000457763672,13.359999656677246,0.0,70900,Friday,11,2014,4,7.837022917611258,7.643377304077148,0.04628001067130019,0.006766684188295402,0.9930004692947784,76.04334732950575,0.02799510955810547,7.636718797683716,8.006047960802213,7.267389634565219
