[2025-06-20 21:26:50 | LoggerAVAL | MiClase | mi_funcion | DEBUG] Este es un mensaje de debug
[2025-06-20 21:26:50 | LoggerAVAL | MiClase | mi_funcion | INFO] Este es un mensaje de info
[2025-06-20 21:26:50 | LoggerAVAL | MiClase | mi_funcion | WARNING] Este es un mensaje de warning
[2025-06-20 21:26:50 | LoggerAVAL | MiClase | mi_funcion | CRITICAL] Este es un mensaje de critical
[2025-06-20 21:26:50 | LoggerAVAL | DataCollector | fetch_data | INFO] Descargando datos para AVAL
[2025-06-20 21:26:51 | LoggerAVAL | DataCollector | save_data | INFO] Datos guardados en src/static/data/historical.csv
[2025-06-20 21:26:51 | LoggerAVAL | DataCollector | save_data | INFO] Registros descargados: 2702
[2025-06-20 21:26:51 | LoggerAVAL | DataCollector | save_data | INFO] Nuevos registros agregados: 1
[2025-06-20 21:26:51 | LoggerAVAL | DataCollector | save_data | INFO] Total de registros en el archivo: 2702
